"","Title","Author","Year","Abstract"
"1","Histone H3 clipping is a novel signature of human neutrophil extracellular traps.","Tilley, Abuabed, Zimny Arndt, Schmid, Florian, Jungblut, Brinkmann, Herzig, Zychlinsky","2022","Neutrophils are critical to host defence, executing diverse strategies to perform their antimicrobial and regulatory functions. One tactic is the production of neutrophil extracellular traps (NETs). In response to certain stimuli, neutrophils decondense their lobulated nucleus and release chromatin into the extracellular space through a process called NETosis. However, NETosis, and the subsequent degradation of NETs, can become dysregulated. NETs are proposed to play a role in infectious as well as many non-infection related diseases including cancer, thrombosis, autoimmunity and neurological disease. Consequently, there is a need to develop specific tools for the study of these structures in disease contexts. In this study, we identified a NET-specific histone H3 cleavage event and harnessed this to develop a cleavage site-specific antibody for the detection of human NETs. By microscopy, this antibody distinguishes NETs from chromatin in purified and mixed cell samples. It also detects NETs in tissue sections. We propose this antibody as a new tool to detect and quantify NETs."
"2","The comparison between 2DE-MS and bottom-up LC-MS demands high-end techniques for both technologies.","Zhan, Jungblut","2022","In contrast to bottom-up LC-MS only 2DE-MS can separate and detect a huge number of human protein species. Kwiatkowski et al. (in this issue) established parameters to estimate the amount of protein speciation for each human protein. Proteins identified in 2DE-MS approaches showed more protein speciation than in bottom-up LC-MS. The authors state that protein speciation is likely to increase the chance of proteins to be determined in 2-DE/MS, though admitting that low-sensitivity 2DE-MS methods were used in this study. In agreement with Kwiatkowski et al., we are convinced that the difference between 2DE-MS and bottom-up LC-MS will disappear, if high-resolution 2DE is combined with identification by a high-sensitivity LC-Orbitrap-MS. Meta-analysis of proteomic data is surely a promising tool, though the technological progress in 2DE and MS has to reach a plateau to enable useful comparisons."
"3","Innovating the Concept and Practice of Two-Dimensional Gel Electrophoresis in the Analysis of Proteomes at the Proteoform Level.","Zhan, Li, Zhan, Schlüter, Jungblut, Coorssen","2019","Two-dimensional gel electrophoresis (2DE) is an important and well-established technical platform enabling extensive top-down proteomic analysis. However, the long-held but now largely outdated conventional concepts of 2DE have clearly impacted its application to in-depth investigations of proteomes at the level of protein species/proteoforms. It is time to popularize a new concept of 2DE for proteomics. With the development and enrichment of the proteome concept, any given ""protein"" is now recognized to consist of a series of proteoforms. Thus, it is the proteoform, rather than the canonical protein, that is the basic unit of a proteome, and each proteoform has a specific isoelectric point (pI) and relative mass (Mr ). Accordingly, using 2DE, each proteoform can routinely be resolved and arrayed according to its different pI and Mr . Each detectable spot contains multiple proteoforms derived from the same gene, as well as from different genes. Proteoforms derived from the same gene are distributed into different spots in a 2DE pattern. High-resolution 2DE is thus actually an initial level of separation to address proteome complexity and is effectively a pre-fractionation method prior to analysis using mass spectrometry (MS). Furthermore, stable isotope-labeled 2DE coupled with high-sensitivity liquid chromatography-tandem MS (LC-MS/MS) has tremendous potential for the large-scale detection, identification, and quantification of the proteoforms that constitute proteomes."
"4","Nuclear cGAS suppresses DNA repair and promotes tumorigenesis.","Liu, Zhang, Wu, Ma, Wu, Wang, Jiang, Fei, Zhu, Tan, Jungblut, Pei, Dorhoi, Yan, Zhang, Zheng, Liu, Liang, Liu, Yang, Chen, Wang, Tang, Peng, Hu, Xu, Huang, Wang, Li, Zhou, Liu, Yan, Kaufmann, Chen, Mao, Ge","2018","Accurate repair of DNA double-stranded breaks by homologous recombination preserves genome integrity and inhibits tumorigenesis. Cyclic GMP-AMP synthase (cGAS) is a cytosolic DNA sensor that activates innate immunity by initiating the STING-IRF3-type I IFN signalling cascade1,2. Recognition of ruptured micronuclei by cGAS links genome instability to the innate immune response3,4, but the potential involvement of cGAS in DNA repair remains unknown. Here we demonstrate that cGAS inhibits homologous recombination in mouse and human models. DNA damage induces nuclear translocation of cGAS in a manner that is dependent on importin-α, and the phosphorylation of cGAS at tyrosine 215-mediated by B-lymphoid tyrosine kinase-facilitates the cytosolic retention of cGAS. In the nucleus, cGAS is recruited to double-stranded breaks and interacts with PARP1 via poly(ADP-ribose). The cGAS-PARP1 interaction impedes the formation of the PARP1-Timeless complex, and thereby suppresses homologous recombination. We show that knockdown of cGAS suppresses DNA damage and inhibits tumour growth both in vitro and in vivo. We conclude that nuclear cGAS suppresses homologous-recombination-mediated repair and promotes tumour growth, and that cGAS therefore represents a potential target for cancer prevention and therapy."
"5","Small heat shock protein speciation: novel non-canonical 44 kDa HspB5-related protein species in rat and human tissues.","Benndorf, Gilmont, Hirano, Ransom, Jungblut, Bommer, Goldman, Welsh","2018","When analyzing small stress proteins of rat and human tissues by electrophoretic methods followed by western blotting, and using the anti-HspB1/anti-HspB5 antibody clone 8A7, we unexpectedly found a protein with a molecular mass of ~44 kDa. On two-dimensional gels, this protein resolved into four distinct species. Electrophoretic and immunological evidence suggests that this 44 kDa protein is a derivative of HspB5, most likely a covalently linked HspB5 dimer. This HspB5-like 44 kDa protein (HspB5L-P44) is particularly abundant in rat heart, brain, and renal cortex and glomeruli. HspB5L-P44 was also found in human brains, including those from patients with Alexander disease, a condition distinguished by cerebral accumulation of HspB5. Gray matter of such a patient contained an elevated amount of HspB5L-P44. A spatial model of structurally ordered dimeric HspB5 α-crystallin domains reveals the exposed and adjacent position of the two peptide segments homologous to the HspB1-derived 8A7 antigen determinant peptide (epitope). This explains the observed extraordinary high avidity of the 8A7 antibody towards HspB5L-P44, as opposed to commonly used HspB5-specific antibodies which recognize other epitopes. This scenario also explains the remarkable fact that no previous study reported the existence of HspB5L-P44 species. Exposure of rat endothelial cells to UV light, an oxidative stress condition, temporarily increased HspB5L-P44, suggesting physiological regulation of the dimerization. The existence of HspB5L-P44 supports the protein speciation discourse and fits to the concept of the protein code, according to which the expression of a given gene is reflected only by the complete set of the derived protein species."
"6","Sex differences in murine myocardium are not exclusively regulated by gonadal hormones.","Theuring, Neumann, Scheler, Jungblut, Schwab","2018","We investigated sex differences in cardiac protein patterns of intact and castrated mice using proteomics and 1D and 2D immunoblotting. To exclude differences concerning developmental aspects gonadectomy was conducted in mature mice at the age of three months. The main sex-related regulation in the protein pattern of the myocardium occurred for proteins involved in metabolic processes whereas only few proteins involved in other pathways underwent a regulation. Many regulated proteins (2/3) displayed a characteristic V form, which means that these proteins are up- or down-regulated in sexually mature compared to young mice and are back-regulated after castration, emphasizing a direct regulation by gonadal hormones. Several other spots (1/3) showed the same male/female regulation or a drastic increase in male/female spot intensity ratio after castration, suggesting either a regulation independent of sex hormones or a removal of an inhibiting feedback mechanism by gonadectomy. Technically, we found that it cannot be expected that a single spot contains only one protein species and that one protein is present in only one spot. We thus propose for proteomic investigations to identify/quantify all spots of a 2-DE pattern to obtain information about protein speciation and its potential importance for function and pathology."
"7","How many proteins can be identified in a 2DE gel spot within an analysis of a complex human cancer tissue proteome?","Zhan, Yang, Peng, Li, Mu, Long, Cheng, Huang, Li, Lu, Li, Li, Liu, Jungblut","2018","Two-dimensional gel electrophoresis (2DE) in proteomics is traditionally assumed to contain only one or two proteins in each 2DE spot. However, 2DE resolution is being complemented by the rapid development of high sensitivity mass spectrometers. Here we compared MALDI-MS, LC-Q-TOF MS and LC-Orbitrap Velos MS for the identification of proteins within one spot. With LC-Orbitrap Velos MS each Coomassie Blue-stained 2DE spot contained an average of at least 42 and 63 proteins/spot in an analysis of a human glioblastoma proteome and a human pituitary adenoma proteome, respectively, if a single gel spot was analyzed. If a pool of three matched gel spots was analyzed this number further increased up to an average of 230 and 118 proteins/spot for glioblastoma and pituitary adenoma proteome, respectively. Multiple proteins per spot confirm the necessity of isotopic labeling in large-scale quantification of different protein species in a proteome. Furthermore, a protein abundance analysis revealed that most of the identified proteins in each analyzed 2DE spot were low-abundance proteins. Many proteins were present in several of the analyzed spots showing the ability of 2DE-MS to separate at the protein species level. Therefore, 2DE coupled with high-sensitivity LC-MS has a clearly higher sensitivity as expected until now to detect, identify and quantify low abundance proteins in a complex human proteome with an estimated resolution of about 500 000 protein species. This clearly exceeds the resolution power of bottom-up LC-MS investigations."
"8","Towards deciphering proteomes via the proteoform, protein speciation, moonlighting and protein code concepts.","Jungblut, Thiede, Schlüter","2016",NA
"9","Analysis of T4SS-induced signaling by H. pylori using quantitative phosphoproteomics.","Glowinski, Holland, Thiede, Jungblut, Meyer","2014","Helicobacter pylori is a Gram-negative bacterial pathogen colonizing the human stomach. Infection with H. pylori causes chronic inflammation of the gastric mucosa and may lead to peptic ulceration and/or gastric cancer. A major virulence determinant of H. pylori is the type IV secretion system (T4SS), which is used to inject the virulence factor CagA into the host cell, triggering a wide range of cellular signaling events. Here, we used a phosphoproteomic approach to investigate tyrosine signaling in response to host-pathogen interaction, using stable isotope labeling in cell culture (SILAC) of AGS cells to obtain a differential picture between multiple infection conditions. Cells were infected with wild type H. pylori P12, a P12Δ CagA deletion mutant, and a P12Δ PAI deletion mutant to compare signaling changes over time and in the absence of CagA or the T4SS. Tryptic peptides were enriched for tyrosine (Tyr) phosphopeptides and analyzed by nano-LC-Orbitrap MS. In total, 85 different phosphosites were found to be regulated following infection. The majority of phosphosites identified were kinases of the MAPK family. CagA and the T4SS were found to be key regulators of Tyr phosphosites. Our findings indicate that CagA primarily induces activation of ERK1 and integrin-linked factors, whereas the T4SS primarily modulates JNK and p38 activation."
"10","The proteomics quantification dilemma.","Jungblut","2014","Proteomics is dominated today by the protein expression discourse, which favorites the bottom-up approach because of its high throughput and its high sensitivity. For quantification this proceeding is misleading, if a protein is present with more than one protein species in the sample to be analyzed. The protein speciation discourse considers this more realistic situation and affords the top-down procedures or at least a separation of the protein species in advance to identification and quantification. Today all of the top-down procedures are one order of magnitude less sensitive than the bottom-up ones. To increase sensitivity and to increase throughput are major challenges for proteomics of the next years. This article is part of a Special Issue entitled: 20years of Proteomics in memory of Viatliano Pallini. Guest Editors: Luca Bini, Juan J. Calvete, Natacha Turck, Denis Hochstrasser and Jean-Charles Sanchez."
